"time","median","q025","q975","variable"
49,17393.8428269779,169.101319728674,62848.0707718708,"R1"
50,17389.2115672116,169.055668549933,62831.1040834064,"R1"
51,17384.5575879513,169.010029694863,62814.1419753066,"R1"
0,0,0,0,"R2"
1,5.21004266911553,4.25565086772561,6.36541038647617,"R2"
2,12.0039275757309,8.28958994902385,20.4949643535434,"R2"
3,20.8254753621301,11.6072201523257,51.2967919099323,"R2"
4,31.089514123368,14.6655202267687,119.561020765283,"R2"
5,44.4142384207663,16.9999943021988,274.522391815502,"R2"
6,60.5083551911232,18.4895362445303,608.734930790836,"R2"
7,80.2443364664062,19.5967486221783,1260.87933999552,"R2"
8,103.117529971919,20.4057973889105,2495.3769406904,"R2"
9,127.050203178737,20.9794768787559,4477.03983318026,"R2"
10,155.187383642637,21.2877217465205,7631.86137320447,"R2"
11,182.091553925468,21.4844583866467,11901.1741125949,"R2"
12,202.851820770195,21.6043074637709,16375.7027421408,"R2"
13,230.404378311203,21.6724945919271,18183.1295028733,"R2"
14,247.935830933657,21.7069552560129,20728.2897216966,"R2"
15,262.806375615378,21.7201234174927,26166.855461834,"R2"
16,282.792833076831,21.720394189222,31019.8058859858,"R2"
17,299.360914914349,21.7132818932961,33500.3318090581,"R2"
18,318.463489550572,21.7023026519416,34607.0021960286,"R2"
19,322.927789405563,21.6896276612657,35308.0565286728,"R2"
20,332.642645878624,21.6765461695346,35740.7953022291,"R2"
21,333.501780812784,21.6637840567904,36001.7476284937,"R2"
22,333.927262913374,21.6517132222711,36155.2779193124,"R2"
23,334.104636007235,21.640488620828,36242.830088427,"R2"
24,334.145458488984,21.6301344011713,36494.4163981734,"R2"
25,334.114211135111,21.6206010685991,36706.2863718965,"R2"
26,334.046792926254,21.6118001441805,36838.1969837942,"R2"
27,333.962432227155,21.6036287005304,36917.9519488866,"R2"
28,333.870981881099,21.5959816221393,36964.1352009062,"R2"
29,333.777209431938,21.5887621856094,36988.9624001433,"R2"
30,334.445606531544,21.5818832103103,37000.3509421444,"R2"
31,335.317482628908,21.5752723946456,37003.369041359,"R2"
32,335.975370378076,21.5688680264733,37001.224452532,"R2"
33,336.459642189388,21.5626214489877,36995.9259597032,"R2"
34,336.805148662503,21.556493713519,36988.7188186135,"R2"
35,337.041354860499,21.5504546250406,36980.3674401554,"R2"
36,337.192690629104,21.5444809756109,36971.3366059656,"R2"
37,337.279040482434,21.5385552360633,36961.9062849636,"R2"
38,337.316307220975,21.5326643497383,36952.243580923,"R2"
39,337.316997117584,21.5267986913567,36942.4473334828,"R2"
40,337.2907876787,21.5209512516973,36932.5754866594,"R2"
41,337.245051638518,21.5151169845673,36922.6617127148,"R2"
42,337.185321794521,21.5092922958291,36912.7254099774,"R2"
43,337.115689729348,21.5034746519807,36902.7776583953,"R2"
44,337.039138660661,21.4976622867787,36892.8247328517,"R2"
45,336.957813370711,21.4918539794599,36882.8701582438,"R2"
46,336.873235738942,21.4860488961721,36872.9158972114,"R2"
47,336.78647108338,21.4802464719098,36862.963034226,"R2"
48,336.698255513263,21.4744463269089,36853.0121631258,"R2"
49,336.60909139243,21.4686482111792,36843.0636066281,"R2"
50,336.519316871594,21.462851956083,36833.1175387103,"R2"
51,336.42915749901,21.4570574560228,36823.1740515565,"R2"
0,0,0,0,"V"
1,994.429068281387,994.360553414865,994.469771977048,"V"
2,1977.96295170397,1977.38124306733,1978.2590947821,"V"
3,2950.46197820805,2947.98739847141,2951.4618855945,"V"
4,3911.6486237529,3902.57114334672,3914.16051432058,"V"
5,4861.14673773164,4833.84362520587,4866.45133861038,"V"
6,5798.25364055941,5722.89374252858,5808.42321649532,"V"
7,6721.78967920332,6537.87878357719,6740.22985108489,"V"
8,7630.42412251162,7239.70954950957,7661.93768377558,"V"
9,8523.2908105005,7809.30612981162,8573.64395351784,"V"
10,9396.17092153488,8263.9002208153,9475.44890201643,"V"
11,10249.7728724181,8624.82927134848,10367.5011381347,"V"
12,11079.7947042633,8879.94895549468,11249.8522387819,"V"
13,11879.3427685838,9102.62361927969,12122.6202894446,"V"
14,12655.0490344538,9307.37838616845,12985.910594822,"V"
15,13398.275323913,9501.82641360771,13839.8299441517,"V"
16,14111.8328907126,9706.80856336564,14684.486564315,"V"
17,14797.0146160923,9926.37910356062,15519.9899382948,"V"
18,15458.4070423486,10142.5049594621,16346.4504972939,"V"
19,16103.4168359175,10355.9249818662,17163.9792075736,"V"
